HORA;DIA;SALA;ACTIVIDAD;FOTO;AFINIDAD;URL;;;
9:00;18;Expositiva;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
9:15;18;Expositiva;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
9:30;18;Expositiva;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
9:45;18;Expositiva;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
10:00;18;Expositiva;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
10:15;18;Expositiva;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
10:30;18;Expositiva;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
10:45;18;Expositiva;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
11:00;18;Expositiva;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
11:15;18;Expositiva;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
11:30;18;Expositiva;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
11:45;18;Expositiva;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
12:00;18;Expositiva;MarketLab/App Café/MarketPlace Startup;imgs/artist/marketPlace.png;;http://sonarplusd.com/es/activity/job-market-place/;;; 
12:15;18;Expositiva;MarketLab/App Café/MarketPlace Startup;imgs/artist/marketPlace.png;;http://sonarplusd.com/es/activity/job-market-place/;;;
12:30;18;Expositiva;MarketLab/App Café/MarketPlace Startup;imgs/artist/marketPlace.png;;http://sonarplusd.com/es/activity/job-market-place/;;;
12:45;18;Expositiva;MarketLab/App Café/MarketPlace Startup;imgs/artist/marketPlace.png;;http://sonarplusd.com/es/activity/job-market-place/;;;
13:00;18;Expositiva;MarketLab/App Café/MarketPlace Startup;imgs/artist/marketPlace.png;;http://sonarplusd.com/es/activity/job-market-place/;;;
13:15;18;Expositiva;MarketLab/App Café/MarketPlace Startup;imgs/artist/marketPlace.png;;http://sonarplusd.com/es/activity/job-market-place/;;;
13:30;18;Expositiva;MarketLab/App Café/MarketPlace Startup;imgs/artist/marketPlace.png;;http://sonarplusd.com/es/activity/job-market-place/;;;
13:45;18;Expositiva;MarketLab/App Café/MarketPlace Startup;imgs/artist/marketPlace.png;;http://sonarplusd.com/es/activity/job-market-place/;;;
14:00;18;Expositiva;MarketLab/App Café/MarketPlace Startup;imgs/artist/marketPlace.png;;http://sonarplusd.com/es/activity/job-market-place/;;;
14:15;18;Expositiva;MarketLab/App Café/MarketPlace Startup;imgs/artist/marketPlace.png;;http://sonarplusd.com/es/activity/job-market-place/;;;
14:30;18;Expositiva;MarketLab/App Café/MarketPlace Startup;imgs/artist/marketPlace.png;;http://sonarplusd.com/es/activity/job-market-place/;;;
14:45;18;Expositiva;MarketLab/App Café/MarketPlace Startup;imgs/artist/marketPlace.png;;http://sonarplusd.com/es/activity/job-market-place/;;;
15:00;18;Expositiva;MarketLab/App Café/MarketPlace Startup;imgs/artist/marketPlace.png;;http://sonarplusd.com/es/activity/job-market-place/;;;
15:15;18;Expositiva;MarketLab/App Café/MarketPlace Startup;imgs/artist/marketPlace.png;;http://sonarplusd.com/es/activity/job-market-place/;;;
15:30;18;Expositiva;MarketLab/App Café/MarketPlace Startup;imgs/artist/marketPlace.png;;http://sonarplusd.com/es/activity/job-market-place/;;;
15:45;18;Expositiva;MarketLab/App Café/MarketPlace Startup;imgs/artist/marketPlace.png;;http://sonarplusd.com/es/activity/job-market-place/;;;
16:00;18;Expositiva;MarketLab/App Café/MarketPlace Startup;imgs/artist/marketPlace.png;;http://sonarplusd.com/es/activity/job-market-place/;;;
16:15;18;Expositiva;MarketLab/App Café/MarketPlace Startup;imgs/artist/marketPlace.png;;http://sonarplusd.com/es/activity/job-market-place/;;;
16:30;18;Expositiva;MarketLab/App Café/MarketPlace Startup;imgs/artist/marketPlace.png;;http://sonarplusd.com/es/activity/job-market-place/;;;
16:45;18;Expositiva;MarketLab/App Café/MarketPlace Startup;imgs/artist/marketPlace.png;;http://sonarplusd.com/es/activity/job-market-place/;;;
17:00;18;Expositiva;MarketLab/App Café/MarketPlace Startup;imgs/artist/marketPlace.png;;http://sonarplusd.com/es/activity/job-market-place/;;;
17:15;18;Expositiva;MarketLab/App Café/MarketPlace Startup;imgs/artist/marketPlace.png;;http://sonarplusd.com/es/activity/job-market-place/;;;
17:30;18;Expositiva;MarketLab/App Café/MarketPlace Startup;imgs/artist/marketPlace.png;;http://sonarplusd.com/es/activity/job-market-place/;;;
17:45;18;Expositiva;MarketLab/App Café/MarketPlace Startup;imgs/artist/marketPlace.png;;http://sonarplusd.com/es/activity/job-market-place/;;;
18:00;18;Expositiva;MarketLab/App Café/MarketPlace Startup;imgs/artist/marketPlace.png;;http://sonarplusd.com/es/activity/job-market-place/;;;
18:15;18;Expositiva;MarketLab/App Café/MarketPlace Startup;imgs/artist/marketPlace.png;;http://sonarplusd.com/es/activity/job-market-place/;;;
18:30;18;Expositiva;MarketLab/App Café/MarketPlace Startup;imgs/artist/marketPlace.png;;http://sonarplusd.com/es/activity/job-market-place/;;;
18:45;18;Expositiva;MarketLab/App Café/MarketPlace Startup;imgs/artist/marketPlace.png;;http://sonarplusd.com/es/activity/job-market-place/;;;
19:00;18;Expositiva;MarketLab/App Café/MarketPlace Startup;imgs/artist/marketPlace.png;;http://sonarplusd.com/es/activity/job-market-place/;;;
19:15;18;Expositiva;MarketLab/App Café/MarketPlace Startup;imgs/artist/marketPlace.png;;http://sonarplusd.com/es/activity/job-market-place/;;;
19:30;18;Expositiva;MarketLab/App Café/MarketPlace Startup;imgs/artist/marketPlace.png;;http://sonarplusd.com/es/activity/job-market-place/;;;
19:45;18;Expositiva;MarketLab/App Café/MarketPlace Startup;imgs/artist/marketPlace.png;;http://sonarplusd.com/es/activity/job-market-place/;;;
20:00;18;Expositiva;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
20:15;18;Expositiva;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
20:30;18;Expositiva;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
20:45;18;Expositiva;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
9:00;18;Workshops;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
9:15;18;Workshops;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
9:30;18;Workshops;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
9:45;18;Workshops;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
10:00;18;Workshops;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
10:15;18;Workshops;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
10:30;18;Workshops;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
10:45;18;Workshops;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
11:00;18;Workshops;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
11:15;18;Workshops;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
11:30;18;Workshops;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
11:45;18;Workshops;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
12:00;18;Workshops;Oscillating Cities by Queen Mary University London (UK);imgs/artist/osc_cities.png;;http://sonarplusd.com/activity/oscillating-cities/;;;
12:15;18;Workshops;Oscillating Cities by Queen Mary University London (UK);imgs/artist/osc_cities.png;;http://sonarplusd.com/activity/oscillating-cities/;;;
12:30;18;Workshops;Oscillating Cities by Queen Mary University London (UK);imgs/artist/osc_cities.png;;http://sonarplusd.com/activity/oscillating-cities/;;;
12:45;18;Workshops;Oscillating Cities by Queen Mary University London (UK);imgs/artist/osc_cities.png;;http://sonarplusd.com/activity/oscillating-cities/;;;
13:00;18;Workshops;Oscillating Cities by Queen Mary University London (UK);imgs/artist/osc_cities.png;;http://sonarplusd.com/activity/oscillating-cities/;;;
13:15;18;Workshops;Oscillating Cities by Queen Mary University London (UK);imgs/artist/osc_cities.png;;http://sonarplusd.com/activity/oscillating-cities/;;;
13:30;18;Workshops;Oscillating Cities by Queen Mary University London (UK);imgs/artist/osc_cities.png;;http://sonarplusd.com/activity/oscillating-cities/;;;
13:45;18;Workshops;Oscillating Cities by Queen Mary University London (UK);imgs/artist/osc_cities.png;;http://sonarplusd.com/activity/oscillating-cities/;;;
